servreqid,text,id,label,newlabel,newid
246382063, Door open to boarded up army reserve building.,CSB-General Inquiry,7,7,CSB-General Inquiry
227124255,Knocked down last night ,SDOT-Sign and Signal Maintenance,8,7,CSB-General Inquiry
194544165,"Pavement markings faded, needs repainting ",SDOT-Sign and Signal Maintenance,8,7,CSB-General Inquiry
215016697, Contractor consistently placing several cones to restrict public from parking. Home on corner 34th ave w & Armour. Cones are put out on Armour. This across street from public library.,CSB-General Inquiry,7,7,CSB-General Inquiry
193347369, sewer not covered properly.. had been wooden grating destroyed by construction work several months ago.. unsafe!!!,CSB-General Inquiry,7,7,CSB-General Inquiry
225604252, Garbage cans full and garbage in the park,CSB-General Inquiry,7,7,CSB-General Inquiry
223566350," Given the Governor's order last week allowing outdoor tennis, when will the city courts re-open?  Thank you.  Gary",CSB-General Inquiry,7,7,CSB-General Inquiry
238455671," Drummer and trombone exceeding noise ordinance limits.  Readings greater then 70 db from 100 feet.  The drummer is here many days of the week with a sign posting people to online payments.  
The noise is constant, a nuisance for residents who live nearby and is especially disturbing during work hours with many of us working from home.

Please enforce the existing noise ordinance.
 Thank you",CSB-General Inquiry,7,7,CSB-General Inquiry
226560839, Cars running red lights long after yellow light ends coming down Denny with some regularity.,SDOT-Sign and Signal Maintenance,8,7,CSB-General Inquiry
242112767,It's damaged and has been here for 4 weeks. ,SDOT-Abandoned Vehicle,2,7,CSB-General Inquiry
244496380," The 23rd Ave crosswalk speaker is extremely loud and can be heard inside the adjacent apartments. It had been fixed before, but became loud again today. Fixing this would be much appreciated, thank you.",CSB-General Inquiry,7,7,CSB-General Inquiry
208528504, Looks like someone backed into a power pole retention cable. It is now very loose.,CSB-General Inquiry,7,7,CSB-General Inquiry
221825835, Unauthorized camping,CSB-General Inquiry,7,7,CSB-General Inquiry
225274560, Sidewalk damage,CSB-General Inquiry,7,7,CSB-General Inquiry
192750480, Pedestrians are in danger when crossing Renton Ave S. To get to Kubota Garden.  There really needs to be a crosswalk to keep people safe.  Thank you!,CSB-General Inquiry,7,7,CSB-General Inquiry
206592790,SDOT: Please send street use to investigate ,SPD-Parking Enforcement,4,7,CSB-General Inquiry
247956405," While running, tripped over a piece of metal protruding from the sidewalk. Badly skinned up knee and elbow.",CSB-General Inquiry,7,7,CSB-General Inquiry
248387267, Glass in bike lane,CSB-General Inquiry,7,7,CSB-General Inquiry
213336718,SDOT: Participant requesting to have curb painted. ,SPD-Parking Enforcement,4,7,CSB-General Inquiry
233976014," There is so much speeding on MLK. Many times an hour people are racing from the Walden intersection to Rainier. It's very noisy and dangerous. The city posted a 25mph limit but it is violated all the time without consequence. Please at least install a ""watch your speed!"" sign.",SPD-Parking Enforcement,4,7,CSB-General Inquiry
211124982, Outside graduation party and the sound is traveling hundreds of feet  As it’s very loud music being played,CSB-General Inquiry,7,7,CSB-General Inquiry
244552610, A lady left her stolen cart full of stuff in front of my homes for hours in the middle of the street while she was mostly doing mostly drugs in the park.  I pushed the cart to the corner of 14th in the median with gloves on.  She is now screaming horrible words down the street.,CSB-General Inquiry,7,7,CSB-General Inquiry
190520156,"SENT FOR INSPECTION.  UNSURE IF THIS IS ILLEGAL DUMPING.  SEE DETAIL
PER INSPECTOR, SENT TO CSB FOR SDOT STREET USE.  STREET BARRIERS ",CSB-General Inquiry,7,7,CSB-General Inquiry
206298301, Fire hydrant seems to leaking and creating a hazard on the sidewalk when temperatures drop below freezing,CSB-General Inquiry,7,7,CSB-General Inquiry
228235141, This area of 122nd St is unique that it has on street parking and collects leaves this time of year. Now there is an accumulation of leaves in the street next to the curb. It results in a slippery mess. Can the city please clean this up.,CSB-General Inquiry,7,7,CSB-General Inquiry
195205315, Sidewalk requires machete,CSB-General Inquiry,7,7,CSB-General Inquiry
216225331, Tree is hiding stop sign and growing in to the intersection. Very dangerous,CSB-General Inquiry,7,7,CSB-General Inquiry
212120050, Customer called to report six to eight RVs and people dumping raw sewage on the street on S River St and 2nd Ave S.,SPD-Parking Enforcement,4,7,CSB-General Inquiry
193956327,ACTIVE RV CAMP Bikes being disassembled on the sidewalk,CSB-General Inquiry,7,7,CSB-General Inquiry
234789422," Irene Moore works for the property management for this block and called CSB because she is concerned about, and has received complaints about, a portable toilet that was recently set up in front of a hair salon at 2518 4th Ave.  She said it used to be across the street, for Metro drivers she was told, but it was moved recently to the new location.  She is asking that the siting or permit be reviewed and the toilet moved somewhere that is not adjacent to salon and nearby restaurants on this block.  She said please let her know the results of your review and if she needs to contact anyone else regarding this situation.",CSB-General Inquiry,7,7,CSB-General Inquiry
211192042,"ELM
ON DEMAND PICK UP PER LOU ",SPU-Illegal Dumping Report,3,7,CSB-General Inquiry
242524553, Customer contacted CSB to report frustration with signage and construction in front of Asian Art museum in volunteer park. Customer claims signs in front of museum and both entrance and exit of park indicating where detour is for drivers are insufficient. Customer claims drivers are disregarding existing signage and driving on sidewalks to avoid construction - making for unsafe conditions for pedestrians.,CSB-General Inquiry,7,7,CSB-General Inquiry
212553228, MAN IN FISH TANK,CSB-General Inquiry,7,7,CSB-General Inquiry
208506744, The crosswalks need to be panted at this intersection at 1st ave N and Newton. There have been 4 different cars parked in the crosswalk today because people simply understand that it's a crosswalk. Please mark it as a crosswalk.,CSB-General Inquiry,7,7,CSB-General Inquiry
204246847, Abandoned property/Illegal camping,CSB-General Inquiry,7,7,CSB-General Inquiry
247632129," Broken glass shards in on 39th, which is a neighborhood greenway street, need street sweeper.",CSB-General Inquiry,7,7,CSB-General Inquiry
201748785, Water leak from sprinkler system - see photo  There are about three other leaks in same system just to the east along Burke Gilman trail. Been leaking for months.,CSB-General Inquiry,7,7,CSB-General Inquiry
212904427, Person J-walking - There is no crosswalk  a person was upset with cars on the street.09 15  28JUL2019  location   University Presbyterian Church 4540 15th Ave NE  Seattle  WA 98105,CSB-General Inquiry,7,7,CSB-General Inquiry
219425944, ADA ramps cover ew red with de-icer. Is someone going to vacuum them all up?!,CSB-General Inquiry,7,7,CSB-General Inquiry
213308689," There have been a lot of motorcycles racing down Harvard, probably getting on I5 north.  It's dangerous and really loud and disruptive.  Several times a night this has been happening.",CSB-General Inquiry,7,7,CSB-General Inquiry
238063377, SIDEWALK UPLIFT,CSB-General Inquiry,7,7,CSB-General Inquiry
243379227, The paint which designates the lane along with parking in front of UWPD has worn off and needs to be re-painted,CSB-General Inquiry,7,7,CSB-General Inquiry
213436464," Despite repeated attempts at contacting Starbucks directly over the past few months and asking them to please address the issue (e.g., have the truck come earlier or park elsewhere), no improvements have been made. The truck comes every night at nearly 11pm and remains idle with the engines running for nearly an hour (approaching midnight) as supplies are loaded to the store. The noise from said engines is highly disruptive at this late hour. Attached is the email thread containing my previous correspondence with Starbucks directly.",CSB-General Inquiry,7,7,CSB-General Inquiry
210273013," Tresspas, theft, toxic dumping, human waste",CSB-General Inquiry,7,7,CSB-General Inquiry
235325678," Linda Strout called regarding the SPU water meters at her home and on the block.  She said most of the meters are unreadable, under inches of dirt, and people are getting water bills that seem much higher than normal; please show us how the meter readers do their job.  She asks for follow up and education: when someone comes out to read the meter, please ring the doorbell and let us watch - they would like to find out about the process and get a better understanding.  She said she would welcome meeting and sharing what she learns with neighborhood group.",CSB-General Inquiry,7,7,CSB-General Inquiry
215732241, Abandoned cart,CSB-General Inquiry,7,7,CSB-General Inquiry
247208027, Plumbing/drainage - outdoor,CSB-General Inquiry,7,7,CSB-General Inquiry
235765687, Fire hydrant appears to be leaking.,CSB-General Inquiry,7,7,CSB-General Inquiry
233582490, Loose wires hanging down from power lines.,CSB-General Inquiry,7,7,CSB-General Inquiry
227029903, Dead Tree,CSB-General Inquiry,7,7,CSB-General Inquiry
212983823, Yard waste (private property),CSB-General Inquiry,7,7,CSB-General Inquiry
227871660, Power line was broken.,CSB-General Inquiry,7,7,CSB-General Inquiry
249363658," Entire block of Spring St is closed to pedestrians, as in both sides of the street as well as the other side of Whole Foods on Madison. It is currently impassable.",CSB-General Inquiry,7,7,CSB-General Inquiry
234475305, Collapsed vault lid,CSB-General Inquiry,7,7,CSB-General Inquiry
204722368,Vandalism of climbing hexagons ,SPU-Graffiti Report,0,7,CSB-General Inquiry
250237815, Unauthorized camping,CSB-General Inquiry,7,7,CSB-General Inquiry
197122233, Unauthorized camping,CSB-General Inquiry,7,7,CSB-General Inquiry
230007091, A couple of months ago an SPU crew came out and fixed a broken water pipe in front of our home. When they finished they explained that the asphalt patch they left was temporary and another 3rd party contractor would be coming by within the month to repair the roadway to a permanent state. Currently the asphalt patch prevents normal drainage to the storm drain just south of it (seen behind the puddle in the photo). It causes a significant amount of water to pool rather than going to the drain.,CSB-General Inquiry,7,7,CSB-General Inquiry
243783462," Three bolts are missing from this plate. When cars hit it, it sounds like gunfire or an auto accident. The plate is on eastbound Mercer St. on the west side of the intersection with 5th Ave. N., in the left lane adjacent to (just to the right of) the left turn lane.",CSB-General Inquiry,7,7,CSB-General Inquiry
231755580,this is a private can that belongs to nearby property owner; JF is working to identify can owner to resolve the issue. JF emailed customer to let them know. ,SPU-Public Litter Cans,9,7,CSB-General Inquiry
196504946, Customer is reporting overgrown vegetation that she believes is a code violation. She reports that the berry bushes are overgrown in the area between the parking lot and the street. She states that the bushes trap garbage and reduce visibility. She is requesting that the property owners be made to clean up the area.,CSB-General Inquiry,7,7,CSB-General Inquiry
225985112," Customer contacted the Customer Service Bureau about a building on 15th Ave NW and NW 56th St. Customer stated the door and windows are broken, building has been vandalized and it is vacant. Customer is asking the City to notify the property owner and ask them to board up the windows and door. The building address is 6416 15th Ave NW.",CSB-General Inquiry,7,7,CSB-General Inquiry
244421645, Someone melted a hole in the slide.,CSB-General Inquiry,7,7,CSB-General Inquiry
196718390, Minetti dropped off PDR on 6/25/18 at 5 pm.  Requests information on SPD Homocide Unit activities.,CSB-General Inquiry,7,7,CSB-General Inquiry
192919918, Recently a building was demolished and soil was remediated. Sidewalk access has been blocked for several months while property sits vacant. We need sidewalk access restored.,CSB-General Inquiry,7,7,CSB-General Inquiry
202452524, I come here frequently to play frisbee. More and my son have almost broken our ankles stepping on the hole. It's very hard to see.,CSB-General Inquiry,7,7,CSB-General Inquiry
226213788, Unauthorized camping,SPD-Parking Enforcement,4,7,CSB-General Inquiry
246639023, Building going down. Way too deep. Gases etc. Rot of building.,CSB-General Inquiry,7,7,CSB-General Inquiry
222543827,ON TRAVEL LODGE PROPERTY ,SPU-Graffiti Report,0,7,CSB-General Inquiry
235624018," House abandoned,tall grass and graffiti on the house",CSB-General Inquiry,7,7,CSB-General Inquiry
240497789, Multiple dogs off leash,CSB-General Inquiry,7,7,CSB-General Inquiry
208706128," Just want to thank you all again for letting these heroin junkies do whatever they want. One of them broke my mirror while transporting their stolen bike collection. How do I know? Because last night my car was fine. The passenger side door was not facing the street. And the only people who walk there are your precious, misunderstood drug addicts with the carts of stolen goods and stolen bikes. Fuck you, fuck this good for nothing app, fuck your office, fuck the city council, and fuck Seattle. Clean the streets and pay for my new mirror while you're at it.",CSB-General Inquiry,7,7,CSB-General Inquiry
233625583,"Per Audra:
This is a complaint about neighbors not cleaning up after their dogs. Public Space Management does not enforce this.  I don't know who does, but you might try SPU. JPA

5/03/21 Re-assigning per Sue: Please re-assign  back to CSB with a note that this is an SDCI issue not an SPU issue. Resident reports that neighbors are not cleaning up after their dogs in the planted strip on the whole block. Wants to know who would enforced the issue.",CSB-General Inquiry,7,7,CSB-General Inquiry
205501361, Dennis called CSB on 1/31/19 to report a lack of response from the JUMP bike rideshare company.  Dennis said he called the company 4x and could not get through except for once when he left a message.  Dennis said one of the JUMP bikes has been sitting at 241 S Lander for over a week.,CSB-General Inquiry,7,7,CSB-General Inquiry
207658151," Ursula called CSB about the exceptional customer service she received from Shannon Lindberg at the University Customer Service Center on 3/27/2019. Ursula stated that Shannon was very friendly, nice and went above and beyond to provide the information she requested. Ursula said Shannon was very helpful.",CSB-General Inquiry,7,7,CSB-General Inquiry
196653792,Related SDOT SR: 18-00104069. Grass and organic debris has overtaken sidewalk on west side of street.I have already filed a report and you have ignored my request. Please advise when this work will be undertaken. Thanks,CSB-General Inquiry,7,7,CSB-General Inquiry
225328012, Hillside stream is running across staircase. Needs structural landscape updates to re-route off the walkway. Please alert Parks Dept.,CSB-General Inquiry,7,7,CSB-General Inquiry
236290787, The column of the monorail is very dirty and it's right out front of our building.,CSB-General Inquiry,7,7,CSB-General Inquiry
225560934, Easy to lift manhole cover,CSB-General Inquiry,7,7,CSB-General Inquiry
204320427," Tall Large portable basketball hoop on ""right of way"" sidewalk, etc . Held up by waited bags . Very Hazardous to pedestrians & vehicles. Please have removed",CSB-General Inquiry,7,7,CSB-General Inquiry
249150330, Denny Blaine Bus shelter roof is being destroyed by Miss and plants. Needs fixing immediately.,CSB-General Inquiry,7,7,CSB-General Inquiry
242329697, Scrap snow off of entire street. 50th Ave S,CSB-General Inquiry,7,7,CSB-General Inquiry
221490233, Unauthorized camping,CSB-General Inquiry,7,7,CSB-General Inquiry
232724123,"Residents at 5711 5th NE have dumped grass sod yard waste from their property across the street into WSDOt right of way. Second time they have done this, previously it was house construction waste (dirt & wood), which I also reported (about 4 months ago) ",SPU-Illegal Dumping Report,3,7,CSB-General Inquiry
236736672, In gutter in front of unit.,CSB-General Inquiry,7,7,CSB-General Inquiry
227574401,"This is in reference to SR 18-00026757 Melinda called the Customer Service Bureau to follow up on previous request # 18-00026757. The original request was regarding a no parking sign that was installed in front of her property. The sign was adjusted based on the results from service request 18-00026757, however Melinda says there's still an issue with the way the sign is facing and is requesting to have is adjusted.",CSB-General Inquiry,7,7,CSB-General Inquiry
237705225,"Current tabs11-2022. Due to 72 hr moratorium by Mayor Durkan this request will not be serviced at this time. Please resubmit if still an issue after the current crisis protocols are lifted. In case of immediate emergency or in progress crime, call 911. ",SPD-Parking Enforcement,4,7,CSB-General Inquiry
191997958, Customer called CSB to report plastic sheeting (construction debris from building next door) is caught on the power lines at the junction point under the transformer. Customer states so far it has not caused any damaged but he asks City to remove it.,CSB-General Inquiry,7,7,CSB-General Inquiry
199880841, Broken branch. Potential to fall and damage vehicles.,CSB-General Inquiry,7,7,CSB-General Inquiry
212375859, Illegal campaign signs on public land,CSB-General Inquiry,7,7,CSB-General Inquiry
208620268," This garbage truck wakes me up every Friday at ~2am and ruins my sleep schedule.  This also wakes me up at ~4AM every Friday and Wednesday.  While I understand the need to do this relatively early in the day, 4AM is ridiculous, and against the 7am requirement.  The area is marked as a ""mixed"" zone, meaning residential is included, as such, this time should be protected.  This ally is between 4 apartment buildings.  The noise echoing between them is at an unacceptable level and takes far to long to resolve.",CSB-General Inquiry,7,7,CSB-General Inquiry
243773899, Sidewalk trip hazard.,CSB-General Inquiry,7,7,CSB-General Inquiry
238471897," Animal Control: TT Minor playground is uncomfortably close to very popular unofficial off-leash dog area. Having a bunch of dogs running freely near small children is a recipe for dog bites/maulings. At 17:45 9/23, my 3 yo was playing in sand pit. 3 high energy dogs ran full force toward her.  As 1st dog reached her I grabbed her. The dogs milled at my ankles, the owners oblivious. Please fence area to keep kids and dogs apart. Make area official dog park and keep kids safe!",CSB-General Inquiry,7,7,CSB-General Inquiry
233878056,"Security light with photocell out, connected to street pole on Boren Ave & Columbia St.  Lighting company stated they cannot service the light since it is connected to a city pole.  Multiple thefts in our parking lot lately.  Security lighting needs replacement. ",SCL-Streetlight Report,13,7,CSB-General Inquiry
234617467, Repeated extremely loud noise disrupting neighbors sleep and work. Loud music played in the garden that is loud even with closed windows in surrounding houses.,CSB-General Inquiry,7,7,CSB-General Inquiry
210713686, Unauthorized camping,CSB-General Inquiry,7,7,CSB-General Inquiry
240219748," hazard, destroyed sewer or drain access",CSB-General Inquiry,7,7,CSB-General Inquiry
194698376, Sewer grate removed,CSB-General Inquiry,7,7,CSB-General Inquiry
249537501," Loud, hysterical laughing for the last hour. People walking up and down the alleyway.",CSB-General Inquiry,7,7,CSB-General Inquiry
224048512,Retaining wall location is actually across the street from address given: 12505 20TH AVE NE or 1916 NE 125TH ST. - FVD Rock retaining wall my collapse. The rock above the one that fell out is cracked in half.  The wall is 10+ feet tall.  I'm afraid it may collapse.,CSB-General Inquiry,7,7,CSB-General Inquiry
193404538," Bathrooms wide open after park closing and become a public nuisance, attracting drug gangs",CSB-General Inquiry,7,7,CSB-General Inquiry
226790808," Harvey contacted the Customer Service Bureau in June, July and today (9/10/20) about overgrown vegetation at 2900 NW 85th St near the stop sign. Harvey stated that the growth blocks the line of sight. CSB sent his concerns to SDOT and SDCI in June ( 20-00101269) and July (20-00132162) but Harvey states he wasn't satisfied with the interaction he had with the two departments. He had been speaking with Gregory Lum (SDCI) as an ongoing issue. The customer requested to meet with a supervisor from SDOT and SDCI where the overgrown vegetation is located.",CSB-General Inquiry,7,7,CSB-General Inquiry
239264434, Broken posts,CSB-General Inquiry,7,7,CSB-General Inquiry
235369547, At the museum this vehicle drove into the middle of the green space and I took a picture he turned around and stared to drive towards me I continued to towards the exit and the vehicle began to drive towards my dog. No one was injured but we were threatened by this unlawful driving in the middle of a green space and vehicle driving towards me the pedestrian! I have a video of this as well.  Follow up email: this van turned around drove behind me continueddriving directly behind speaking aggressively then drove close to my dog.I don't understand how these types of activities are allowed to continue.I pay taxes I want to enjoy my parks without fear of retribution.  Theencampment the 4-7 vehicles  parked through out the green space dogs incars and tents- it's out of control.,CSB-General Inquiry,7,7,CSB-General Inquiry
229352553, These cement ecology blocks have been left in the park from seafair 2 years ago and never removed.,CSB-General Inquiry,7,7,CSB-General Inquiry
246989686, The hydrant at the corner of Austin and 35th Ave S is seeping water. The ground surrounding it is saturated and more water keeps bubbling up from the base of the hydrant,CSB-General Inquiry,7,7,CSB-General Inquiry
205725684, Water filling our area. Water keeps pouring into our basement from the city side of the wall.,CSB-General Inquiry,7,7,CSB-General Inquiry
190941526,SENT TO CSB FOR ACTIVE CAMPING Abandoned grocery cart full of trash across the road from Ravenna Woods. Another four abandoned grocery carts within 50 or so feet of Ravenna Woods.,CSB-General Inquiry,7,7,CSB-General Inquiry
238811380,"10/4/21 Email Lisa Bull- Street Use inspector went out and investigate, the second time. This is not a construction related issue. Please close CSR, this issue is Parking Enforcement and SCDI. 
Thanks, MG

 A neighbor has cabinets and other items placed next to the caller's disabled parking spot in the right of way, making it hard for her to park there. She is asking for information on the legal borders of the ROW if possible.",SPD-Parking Enforcement,4,7,CSB-General Inquiry
194611147,"SENT FOR INSPECTION.  ARE HOMELESS PRESENT?
Abandoned shopping cart. ",SPU-Illegal Dumping Report,3,7,CSB-General Inquiry
233264655, Bolts sticking up from sidewalk.  Trip hazard,CSB-General Inquiry,7,7,CSB-General Inquiry
235569083,[PLACENAME] LICTON SPRINGS PARK The path at the East end of N 95th street that leads to Licton Springs Park has vegetation that is overgrowing onto private property in the area (North of the path). ,SEA-Overgrown Vegetation,12,7,CSB-General Inquiry
201860667, Unauthorized camping,CSB-General Inquiry,7,7,CSB-General Inquiry
234519644," Tree branch hanging in cotton tree in alley ,may fall into wires",CSB-General Inquiry,7,7,CSB-General Inquiry
198638090," Noise complaint  I was woken up by someone driving loud and fast away from 5948.  This was followed by a women having a loud argument in the street with a two men.  The argument was something to do with her needing to get her keys back.  I think she said that this was because her mother was on call, or something like that.",CSB-General Inquiry,7,7,CSB-General Inquiry
241534851," Beavers are eating the street trees along Westlake Avenue North parking lot! I marks the approximate location of the trees in the photo. Walking south from there, you'll find multiple others .. maybe 8 total, large and small. All trees need chicken wire around the trunk. Beavers have gotten much worse this season. Floating home docks are plagued with beavers eating shrubs, geraniums, tc.",CSB-General Inquiry,7,7,CSB-General Inquiry
245585017," Broken sidewalk from tree root, tripping hazard",CSB-General Inquiry,7,7,CSB-General Inquiry
235281306, The grass at 12th Ave View Park has not been cut for 3 months.  What is the issue with maintaining this park?  Someone regularly comes and gets the excessive trash from the can.   Can no one cut the grass?  It is nearly 2 feet tall in places.,CSB-General Inquiry,7,7,CSB-General Inquiry
224559521," I Live at 716 McGraw, and the conditions the construction site is putting us through is deplorable.  Construction will start before 7am, where they being work with heavy machinery.  Everyone at this residence now works from home due to covid, and it is nearly impossible to take any meeting with the amount of noise they generate. The construction foreman makes sure that the workers have face masks on them, but they are never wearing them.  Typically worker will take smoke break right in front of our house.  We can not have our windows open due to the smoke and dust blowing in.  This is now a health concern, as they obiviously don't care about the community they are working in and the prevention of the spread of covid.  Stop pandering to contractors outside of Seattle and listen to the people that live here for once.",CSB-General Inquiry,7,7,CSB-General Inquiry
197209635,Shopping cart ,SPU-Illegal Dumping Report,3,7,CSB-General Inquiry
247288872, Traffic traveling at high speeds along 29th is dangerous for families walking to Lawton elementary across the intersections of 29th & Thurman as well as 29th & Emerson. Are there any traffic calming measures that can be added?,CSB-General Inquiry,7,7,CSB-General Inquiry
201148102," NOISE COMPLAINT!!! I have video with sound of the incident, and I'd love to come by and share it!  This is about week 3 of sleep deprivation.",CSB-General Inquiry,7,7,CSB-General Inquiry
190416938,Traffic hazard ,SDOT-Pothole,11,7,CSB-General Inquiry
